Region,Facility,Tier,Latitude
Ashanti,PEACE AND LOVE HOSPITAL,2,7.40801
Ashanti,TODAH HOSPITAL,2,7.40801
Ashanti,ASOKWA CHILREN'S HOSPITAL,2,7.40801
Ashanti,FANKYEBEBRA HOSPITAL,2,7.40801
Ashanti,MICHMIT HOSPITAL,2,7.40801
Ashanti,SABS HOSPITAL,2,7.40801
Ashanti,SARFO ADU MEMORIAL HOSPITAL,2,7.40801
Ashanti,CITY HOSPITAL,2,7.40801
Ashanti,AYUSH MEMORIAL HOSPITAL LTD,2,7.40801
Ashanti,ROYAL PLACE HOSPITAL,2,7.40801
Ashanti,ASAFO AGYEI HOSPITAL,2,7.40801
Ashanti,FIRST ROYAL SPECIALIST HOSPITAL,2,7.40801
Ashanti,GARDEN CITY HOSPITAL,2,7.40801
Ashanti,PAKS HOSPITAL (KRONUM),2,7.40801
Ashanti,ANAN HOSPITAL LIMITED,2,7.40801
Ashanti,ST. ANNE'S HOSPITAL,2,7.40801
Ashanti,MARBOAH HOSPITAL,2,7.40801
Ashanti,MOUNT SINAI MISSION HOSPITAL,2,7.40801
Ashanti,TRUE VINE HOSPITAL,2,7.40801
Ashanti,DOSONEC HOSPITAL LIMITED,2,7.40801
Ashanti,YENTUMI BOAITEY MEMORIAL HOSPITAL,2,7.40801
Ashanti,AHMADIYA MUSLIM HOSPITAL ASOKORE,2,7.40801
Ashanti,AHMADIYA MUSLIM HOSPITAL KOKOFU,2,7.40801
Ashanti,STEWARDS HOSPITAL AND MORTUARY,2,7.40801
Ashanti,AFARI COMMUNITY HOSPITAL LIMITED,2,7.40801
Ashanti,ABUOHIA TOPHILL HOSPITAL,2,7.40801
Ashanti,SILOAM HOSPITAL,2,7.40801
Ashanti,SAVIOUR COMMUNITY HOSPITAL ( BONWIRE),2,7.40801
Ashanti,KNUST HOSPITAL,2,7.40801
Ashanti,TRUE VINE HOSPITAL,2,7.40801
Ashanti,MARANATHA HOSPITAL,2,7.40801
Ashanti,MATER DEI HOSPITAL,2,7.40801
Ashanti,NEIGHBOURHOOD HOSPITAL LIMITED,2,7.40801
Ashanti,DR OSEI HOSPITAL,2,7.40801
Ashanti,PIMA HOSPITAL LIMITED,2,7.40801
Ashanti,ST THERESA'S SPECIALIST HOSPITAL,2,7.40801
Ashanti,AMANFROM HOSPITAL,2,7.40801
Ashanti,ANGLOGOLD ASHANTI HOSPITAL,2,7.40801
Ashanti,FAMILY CARE HOSPITAL,2,7.40801
Ashanti,ASUOYEBOA HOSPITAL,2,7.40801
Ashanti,ASAFO BOAKYE HOSPITAL,2,7.40801
Ashanti,ATWIMA MAAKRO HOSPITAL,2,7.40801
Ashanti,CEDAR CREST HOSPITAL,2,7.40801
Ashanti,FIRST CARE HOSPITAL,2,7.40801
Ashanti,MILLENNIUM CHARITY HOSPITAL,2,7.40801
Ashanti,POKU TRANSPORT HOSPITAL LIMITED,2,7.40801
Ashanti,LIVING WATERS HOSPITAL,2,7.40801
Ashanti,FIRST KLASS HOSPITAL,2,7.40801
Ashanti,LEGACY HOSPITAL,2,7.40801
Ashanti,LENNERT OSEI ADU HOSPITAL,2,7.40801
Ashanti,KROBO CHARITY HOSPITAL,2,7.40801
Ashanti,COUNTY HOSPITAL,2,7.40801
Ashanti,S D A HOSPITAL KWADASO,2,7.40801
Ashanti,GRACELAND SPECIALIST HOSPITAL,2,7.40801
Ashanti,CHRIST THE KING HOSPITAL,2,7.40801
Ashanti,DAKOPON HOSPITAL,2,7.40801
Ashanti,DIVINE GRACE HOSPITAL,2,7.40801
Ashanti,ST LUKES HOSPITAL - KASEI,2,7.40801
Ashanti,ST JUDE HOSPITAL LIMITED,2,7.40801
Ashanti,OBUASI RIDGE HOSPITAL,2,7.40801
Ashanti,SIAW - LARBI HOSPITAL,2,7.40801
Ashanti,SOUTH PATASI HOSPITAL - PATASI,2,7.40801
Ashanti,ROYAL ASH HOSPITAL,2,7.40801
Ashanti,TANOSO COMMUNITY HOSPITAL,2,7.40801
Ashanti,TRINITY HOSPITAL,2,7.40801
Ashanti,ST THERESA'S SPECIALIST HOSPITAL,2,7.40801
Ashanti,VICTORY HOSPITAL,2,7.40801
Ashanti,TRUE VINE HOSPITAL,2,7.40801
Ashanti,ZION PRAISE HOSPITAL,2,7.40801
Ashanti,WISDOM SPECIALIST HOSPITAL,2,7.40801
Ashanti,TIWAAH MEMORIAL HOSPITAL,2,7.40801
Ashanti,ST BENEDICT SPECIALIST HOSPITAL,2,7.40801
Ashanti,NOBEWAM SEVENTH ADVENTIST HOSPITAL,2,7.40801
Ashanti,BUOKROM COMMUNITY HOSPITAL,2,7.40801
Ashanti,GLOBAL EVANGELICAL MISSION HOSPITAL,2,7.40801
Ashanti,SDA HOSPITAL NAMONG,2,7.40801
Ashanti,SDA HOSPITAL WIAMOASE,2,7.40801
Ashanti,SEVENTH DAY ADVENTIST HOSPITAL ASAMANG,2,7.40801
Ashanti,S.D.A HOSPITAL KUMASI,2,7.40801
Ashanti,ARMY SALVATION HOSPITAL,2,7.40801
Ashanti,EVAKAB HOSPITAL,2,7.40801
Ashanti,ST MICHEAL'S CATHOLIC HOSPITAL,2,7.40801
Ashanti,RUMA FERTILITY AND SPECIALIST HOSPITAL,2,7.40801
Ashanti,CHURCH OF GOD MISSION HOSPITAL,2,7.40801
Ashanti,ST PATRICK'S HOSPITAL,2,7.40801
Ashanti,ABRAFI MEMORIAL HOSPITAL,2,7.40801
Ashanti,ROYAL CARE HOSPITAL,2,7.40801
Ashanti,POWERHOUSE HOSPITAL,2,7.40801
Ashanti,DABAA HOPE HOSPITAL,2,7.40801
Ashanti,MADONNAH MATERNITY HOME AND CLINIC,3,7.40801
Ashanti,TWUNEWAA MATERNITY HOME,3,7.40801
Ashanti,AMA DANSOWAAH MATERNITY HOME (Annex),3,7.40801
Ashanti,SANFORD WORLD CLINIC (Ashanti),3,7.40801
Ashanti,PARADISE MATERNITY HOME (Annex),3,7.40801
Ashanti,LIBERTY MATERNITY HOME,3,7.40801
Ashanti,ADAB - SAB MATERNITY HOME,3,7.40801
Ashanti,BONKOSSO OUTREACH MATERNITY HOME,3,7.40801
Ashanti,GOD FIRST ClLINIC MATERNITY HOME,3,7.40801
Ashanti,ST. ANTHONY'S ANN'S MATERNITY HOME,3,7.40801
Ashanti,DREAMLAND COMMUNITY CLINIC,3,7.40801
Ashanti,GARDEN CITY UNIVERSITY COLLEGE CLINIC,3,7.40801
Ashanti,MY PARADISE CLINIC and MATERNITY HOME,3,7.40801
Ashanti,JOMO MEDICAL CENTRE,3,7.40801
Ashanti,DREAMLAND COMMUNITY CLINIC,3,7.40801
Ashanti,ERICA MATERNITY HOME,3,7.40801
Ashanti,S.D.A CLINIC APAAH,3,7.40801
Ashanti,HUMBLE EXCELLENCE & MATERNITY HOME,3,7.40801
Ashanti,REV. WALKER MEDICAL CENTRE,3,7.40801
Ashanti,QUEEN VICTORIA'S MATERNITY HOME,3,7.40801
Ashanti,THE WORD MATERNITY HOME,3,7.40801
Ashanti,ST ANN'S MATERNITY HOME,3,7.40801
Ashanti,VANESSA POKUAH ADJEI MEMORIAL CLINIC,3,7.40801
Ashanti,GOD IS ABLE MATERNITY HOME,3,7.40801
Ashanti,AFRICAN DIASPORA CLINIC,3,7.40801
Ashanti,ROYAL MEDICAL AGENCY CLINIC (ANNEX),3,7.40801
Ashanti,HAPPY MATERNITY HOME,3,7.40801
Ashanti,MULTITECH MEDICAL CENTRE,3,7.40801
Ashanti,JOY MATERNITY HOME,3,7.40801
Ashanti,SAINT DE-GRAFT CLINIC,3,7.40801
Ashanti,DIVINE DESTINY MEDICAL CENTRE,3,7.40801
Ashanti,ST ANTHONY'S MATERNITY HOME,3,7.40801
Ashanti,STADIUM CLINIC,3,7.40801
Ashanti,ALL SOULS HOSPITAL AND LAB CENTRE LIMITED,3,7.40801
Ashanti,ERICA MATERNITY HOME,3,7.40801
Ashanti,ST. CECILIA MATERNITY HOME,3,7.40801
Ashanti,NKONTWIMA CLINIC,3,7.40801
Ashanti,ASBURY HOSPITAL AND FERTILITY CENTRE,3,7.40801
Ashanti,NEW LIFE MATERNITY HOME,3,7.40801
Ashanti,BELIEVERS MATERNITY HOME,3,7.40801
Ashanti,HISTOLAB DIAGNOSTIC CENTRE,3,7.40801
Ashanti,ROSE MATERNITY HOME,3,7.40801
Ashanti,ST JOSEPH CLINIC & MATERNITY HOME,3,7.40801
Ashanti,KAACHIRE CLINIC,3,7.40801
Ashanti,AMPOMAH MEMORIAL MATERNITY HOME,3,7.40801
Ashanti,ST ROSES MATERNITY HOME,3,7.40801
Ashanti,HILL TOP MATERNITY HOME,3,7.40801
Ashanti,MAAME - SER MATERNITY HOME,3,7.40801
Ashanti,ST LUKES HEALTH CENTRE,3,7.40801
Ashanti,SAVOIUR COMMUNITY CLINIC,3,7.40801
Ashanti,ST EDWARDS CLINIC,3,7.40801
Ashanti,ST EDWARDS CLINIC Dwinyama,3,7.40801
Ashanti,ST CECILIA MATERNITY HOME,3,7.40801
Ashanti,DISCOVERY DIANOSTIC CENTRE,3,7.40801
Ashanti,S.D.A CLINIC ANYINASUSO,3,7.40801
Ashanti,HOPE EXCHANGE MEDICAL CENTRE,3,7.40801
Ashanti,KAMA CLINIC ADUM,3,7.40801
Ashanti,BRAMUO MEDICAL CENTRE,3,7.40801
Ashanti,AMA NYAME MEMORIAL MEDICAL CENTRE,3,7.40801
Ashanti,AMANSIE CLINIC,3,7.40801
Ashanti,ADUM CLINIC,3,7.40801
Ashanti,ANANE - AYA CLINIC,3,7.40801
Ashanti,AMPABANIE CLINIC,3,7.40801
Ashanti,ALLEN CLINIC EYE - FIELD,3,7.40801
Ashanti,TRAVELLERS TRINITY CLINIC,3,7.40801
Ashanti,EMMANUEL MATERNITY HOME,3,7.40801
Ashanti,EYE ADOM MATERNITY,3,7.40801
Ashanti,ANIDASO CLINIC,3,7.40801
Ashanti,ANTWI'S MATERNITY HOME,3,7.40801
Ashanti,ANWIAM CLINIC,3,7.40801
Ashanti,ANWAIAM CLINIC,3,7.40801
Ashanti,CITY CENTRE CLINIC,3,7.40801
Ashanti,BOAKYE DANKWA MEMORIAL CLINIC,3,7.40801
Ashanti,CHARIY EYE CENTRE,3,7.40801
Ashanti,CHRISTAA CLINIC,3,7.40801
Ashanti,CHRIST OUR HOPE MATERNITY HOME,3,7.40801
Ashanti,ANGLICAN EYE CLINIC,3,7.40801
Ashanti,WESTEND CLINIC / HOSPITAL,3,7.40801
Ashanti,ANNIWAH MEDICAL CENTRE,3,7.40801
Ashanti,ASEDA CLINIC,3,7.40801
Ashanti,ALLEN UROLOGICAL & MEDICAL CLINIC,3,7.40801
Ashanti,ATASEMANSO CLINIC,3,7.40801
Ashanti,EMMAHATA HEALTH CLINIC & MATERNITY HOME,3,7.40801
Ashanti,PPAG CLINIC SUAME,3,7.40801
Ashanti,BENITO MENNI HEALTH CENTRE,3,7.40801
Ashanti,GLADYS MATERNITY HOME,3,7.40801
Ashanti,GLADYS OWUSU MATERNITY HOME,3,7.40801
Ashanti,GODS GLORY CLINIC,3,7.40801
Ashanti,MAMIE MATERNITY HOME,3,7.40801
Ashanti,MAMA TINA'S MATERNITY HOME,3,7.40801
Ashanti,MABA CLINIC,3,7.40801
Ashanti,KWESAMKOF CLINIC,3,7.40801
Ashanti,JETOA MATERNITY,3,7.40801
Ashanti,HUMBLE MATERNITY HOME,3,7.40801
Ashanti,HEALTHY CARE MEDICAL CENTRE,3,7.40801
Ashanti,GRACELAND CLINIC,3,7.40801
Ashanti,GOD'S GRACE MATERNITY HOME,3,7.40801
Ashanti,PRIMA MEDICAL CENTRE,3,7.40801
Ashanti,AFUA KOBI MATERNITY HOME,3,7.40801
Ashanti,COMFAP MATERNITY HOME,3,7.40801
Ashanti,CALVARY MATERNITY HOME,3,7.40801
Ashanti,KUMANING MEDICAL CENTRE,3,7.40801
Ashanti,MARY MATERNITY HOME,3,7.40801
Ashanti,MARBEN MATERNITY HOME,3,7.40801
Ashanti,MARBEN MATERNITY HOME,3,7.40801
Ashanti,LIVING WATERS MATERNITY HOME,3,7.40801
Ashanti,BETHEL MATERNITY HOME,3,7.40801
Ashanti,FAITH MATERNITY HOME,3,7.40801
Ashanti,DORA A.DONKOR MATERNITY HOME,3,7.40801
Ashanti,OBUASI DIAGNOSTIC CLINIC,3,7.40801
Ashanti,OFORIKROM CLINIC,3,7.40801
Ashanti,PRECISE SPECIALIST CLINIC LIMITED,3,7.40801
Ashanti,SHALOM MATERNITY HOME,3,7.40801
Ashanti,ROPH HEALTH CENTRE,3,7.40801
Ashanti,ST HELENA MATERNITY - ASOKWA,3,7.40801
Ashanti,ROYAL PLACE HOSPITAL AND MATERNITY HOME,3,7.40801
Ashanti,SKANTEX ULTRASOUND CENTRE,3,7.40801
Ashanti,NKAWIE CLINIC,3,7.40801
Ashanti,SPEKKS EYE CENTRE,3,7.40801
Ashanti,NAHGE CLINIC,3,7.40801
Ashanti,NAN FREMA MATERNITY HOME,3,7.40801
Ashanti,MULTI CLINIC,3,7.40801
Ashanti,NYAMA MATERNITY HOME,3,7.40801
Ashanti,REDHILL MEDICAL CENTRE,3,7.40801
Ashanti,WESTPHALIAN EYE CLINIC,3,7.40801
Ashanti,UNIQUE CARE MATERNITY HOME,3,7.40801
Ashanti,WHITE - STAR DENTAL CLINIC,3,7.40801
Ashanti,VICTORY MATERNITY HOME,3,7.40801
Ashanti,VICTORY IN CHRIST MATERNITY HOME,3,7.40801
Ashanti,THE QUEEN MATERNITY HOME,3,7.40801
Ashanti,PEACE LAND CLINIC,3,7.40801
Ashanti,PEACE AND COMFORT MATERNITY HOME,3,7.40801
Ashanti,POPE JOHN PAUL II MEDICAL CENTRE,3,7.40801
Ashanti,ST VINCENTS CLINIC,3,7.40801
Ashanti,ST AUGUSTINES CLINIC,3,7.40801
Ashanti,NA - CHARL CLINIC,3,7.40801
Ashanti,ANINWAA MEDICAL CENTRE ANEX,3,7.40801
Ashanti,QUALITY CARE CLINIC,3,7.40801
Ashanti,MAGAZINE CLINIC,3,7.40801
Ashanti,MOSHE ZONGO CLINIC,3,7.40801
Ashanti,AMOAH MEMORIAL CLINIC,3,7.40801
Ashanti,AKOKOASO HEALTH CENTRE,3,7.40801
Ashanti,EMMANUEL MEDICAL CENTRE,3,7.40801
Ashanti,JOBERT CLINIC,3,7.40801
Ashanti,JOMO MEDICAL CENTRE ADUM (ANNEX),3,7.40801
Ashanti,KUMASI DENTAL CLINIC,3,7.40801
Ashanti,JUABEN CLINIC,3,7.40801
Ashanti,GRACELAND CLINIC ANNEX,3,7.40801
Ashanti,HOPE CLINIC AMOAMANG,3,7.40801
Ashanti,LUHAKI MEDICAL CENTRE,3,7.40801
Ashanti,EVANT SPECIALIST CLINIC,3,7.40801
Ashanti,ABENKYIMAN CLINIC,3,7.40801
Ashanti,YAA AFRIYIE MEMORIAL CLINIC AND MATERNITY HOME,3,7.40801
Ashanti,AGAPE MEDICAL CENTRE,3,7.40801
Ashanti,ANYIMENS MATERNITY HOME,3,7.40801
Ashanti,BOMSO CLINIC,3,7.40801
Ashanti,PREMIUM QUALITY CLINIC,3,7.40801
Ashanti,BLESSED CHILD MATERNITY HOME,3,7.40801
Ashanti,BANTAMA HEALTH AND MATERNITY HOME,3,7.40801
Ashanti,WELLPOINT MEDICAL CENTRE,3,7.40801
Ashanti,MANWERE MEDICAL CENTRE,3,7.40801
Ashanti,ST ANTHONY'S CLINIC,3,7.40801
Ashanti,AMOAH AGYEMAN MEMORIAL MEDICAL and DIG CEN,3,7.40801
Ashanti,THREE STONES HEALTH SERVICE,3,7.40801
Ashanti,MEDUMA CLINIC/MATERNITY HOME,3,7.40801
Ashanti,DOVE - J HEALTH ORGANISATION,3,7.40801
Ashanti,CALVARY HEALTH SERVICES,3,7.40801
Ashanti,QUALITY HEALTH CARE LIMITED,3,7.40801
Ashanti,FRIMPONG BOATENG MEDICAL LTD,3,7.40801
Ashanti,AMAMATA MEMORIAL MAT HOME,3,7.40801
Ashanti,BABY PEAL MAT. HOME,3,7.40801
Ashanti,SISTER PHILIPA MARERNITY HOME,3,7.40801
Ashanti,ROSETH COMMUNITY EYE CARE,3,7.40801
Ashanti,PROFFSSIONAL MEDICS,3,7.40801
Ashanti,MARIE STOPES INTERNATIONAL,3,7.40801
Ashanti,MARIE STOPES INTERNATIONAL,3,7.40801
Ashanti,ROSETH COMMUNITY EYE CARE,3,7.40801
Ashanti,ADOM MMOROSO MAT HOME,3,7.40801
Ashanti,ROYAL LEWUZE MEDICAL,3,7.40801
Ashanti,OWUSUWAA MEMORIAL,3,7.40801
Ashanti,GHANA ADVENTIST HEALTH SERVICES,3,7.40801
Ashanti,MCKENZIE SPECIALIST HEALTH SERVICE,3,7.40801
Ashanti,ANANSE OFFIONSOMAN SPECIALIST,3,7.40801
Ashanti,AKROPONG MAT HOME,3,7.40801
Ashanti,AKOMAA MEMORIAL S D A,3,7.40801
Ashanti,ERNEST MEDICAL CENTER,3,7.40801
Ashanti,AHODWO NEW CROSS,3,7.40801
Ashanti,AWURADZE MAT HOME,3,7.40801
Ashanti,TOTAL GRACE WELLNESS CENTER,3,7.40801
Ashanti,BEKAMAS MEDILAB,3,7.40801
Ashanti,GARY MARUIN MEMORIAL,3,7.40801
Ashanti,FLORENCE MAT HOME,3,7.40801
Ashanti,MAAKRO COMMUNITY,3,7.40801
Ashanti,MAAME ROSE MAT HOME,3,7.40801
Ashanti,HOLY ROSARY MAT HOME,3,7.40801
Ashanti,QUALTY HEALTH CARE,3,7.40801
Ashanti,MADONNA HEALTH SERVICE,3,7.40801
Ashanti,KEFFAM HEALTH SERVICES,3,7.40801
Ashanti,EMENA DIAGNOSTIC CENTER,3,7.40801
Ashanti,METRO HEALTH SERVICES,3,7.40801
Ashanti,KWAKWA AMPADU MEMORIAL,3,7.40801
Ashanti,AYIWA MEMORIAL MAT. HOME,3,7.40801
Ashanti,COMFORT MAT HOME,3,7.40801
Ashanti,EYE AWURADE MAT HOME,3,7.40801
Ashanti,ST JOHN'S ASEMPA,3,7.40801
Ashanti,DIVINE MERCY HEALTH SERVICE,3,7.40801
Ashanti,SIS PHILLIPAH MAT HOME,3,7.40801
Ashanti,NANA AFUA KOBI,3,7.40801
Ashanti,TRINITY HEALTH CARE,3,7.40801
Ashanti,MAJERO MATETRNITY,3,7.40801
Ashanti,GOD IS ABLE SEPAASE,3,7.40801
Ashanti,HUTTEL HEALTH & DEVELOPMENT,3,7.40801
Ashanti,JILF HEALTH SERVICES,3,7.40801
Ashanti,OPENGATES HEALTH SERVICES,3,7.40801
Ashanti,RIGHT CARE HEALTH SERVICES LTD,3,7.40801
Ashanti,VIBRO MATERNITYU HOME,3,7.40801
Ashanti,HANDS OF GOD HEALTH SERVICES,3,7.40801
Ashanti,ST PETERS HEALTH CARE,3,7.40801
Ashanti,GLORYLINE DENTAL SERVICES,3,7.40801
Ashanti,ST MICHEAL'S HOSPITAL-PRAMSO,3,7.40801
Ashanti,SAQS HEALTHCARE SERVICES,3,7.40801
Ashanti,FOUNDATION HUMAN NUTURE,3,7.40801
Ashanti,DIVINE NETCARE HOSPITAL-KRONOM KYERASE,3,7.40801
Ashanti,AHWENE MEMPRIAL HOSPITAL-BEKWAI,3,7.40801
Ashanti,STRONG EYE CARE-ANLOGA JUNCTION OFORIKROM,3,7.40801
Ashanti,ASHANTI HOME MEDICARE PLUS,3,7.40801
Ashanti,RODS & CONES OPTICAL AND EYE CARE SERVICES,3,7.40801
Ashanti,NEWHORNS CONSULT LIMITED,3,7.40801
Greater Accra,KEMET HOSPITAL,2,7.40801
Greater Accra,TRINITY COMMUNITY HOSPITAL,2,7.40801
Greater Accra,ANTHON MEMORIAL HOSPITAL,2,7.40801
Greater Accra,MAXCURE HOSPITAL LIMITED,2,7.40801
Greater Accra,SPINTEX COMMUNITY HOSPITAL,2,7.40801
Greater Accra,AMOAH MEMORIAL HOSPITAL,2,7.40801
Greater Accra,DOVCAT FAMILY HOSPITAL,2,7.40801
Greater Accra,MEDIFEM WOMEN'S SPECIALIST HOSPITAL,2,7.40801
Greater Accra,OTOBIA MEMORIAL HOSPITAL,2,7.40801
Greater Accra,SUPREME TRUST COMMUNITY HOSPITAL,2,7.40801
Greater Accra,BARNOR MEMORIAL HOSPITAL,2,7.40801
Greater Accra,DANGME COMMUNITY HOSPITAL,2,7.40801
Greater Accra,GENERAL FAMILY HOSPITAL,2,7.40801
Greater Accra,THE ROCK HOSPITAL,2,7.40801
Greater Accra,TEMA WOMEN'S HOSPITAL,2,7.40801
Greater Accra,EDEN FAMILY HOSPITAL (ANNEX),2,7.40801
Greater Accra,PROTOCOL HOSPITAL,2,7.40801
Greater Accra,FAMILY HEALTH HOSPITAL,2,7.40801
Greater Accra,GREATER GRACE HOSPITAL,2,7.40801
Greater Accra,AFENYO MEMORIAL HOSPITAL,2,7.40801
Greater Accra,OBENFO HOSPITAL,2,7.40801
Greater Accra,MARY LUCY HOSPITAL,2,7.40801
Greater Accra,OPOKU WARE HOSPITAL,2,7.40801
Greater Accra,C & J MEDICARE HOSPITAL,2,7.40801
Greater Accra,SAPE AGBO MEMORIAL HOSPITAL,2,7.40801
Greater Accra,ROYAL MMR HOSPITAL,2,7.40801
Greater Accra,DEL INTERNATIONAL HOSPITAL,2,7.40801
Greater Accra,ASARE ODEI HOSPITAL,2,7.40801
Greater Accra,OAK STREET HOSPITAL,2,7.40801
Greater Accra,NADELA HOSPITAL,2,7.40801
Greater Accra,BEMUAH ROYAL HOSPITAL,2,7.40801
Greater Accra,EMMANUEL COMMUNITY HOSPITAL,2,7.40801
Greater Accra,LAPAZ COMMUNITY HOSPITAL ANEX,2,7.40801
Greater Accra,GAILEA HOSPITAL,2,7.40801
Greater Accra,LUCY MEMORIAL HOSPITAL,2,7.40801
Greater Accra,NORTH LEGON HOSPITAL,2,7.40801
Greater Accra,ZEBA EYE HOSPITAL,2,7.40801
Greater Accra,YEBOAH HOSPITAL,2,7.40801
Greater Accra,INTERNATIONAL MARITIME HOSPITAL,2,7.40801
Greater Accra,AIRPORT WOMEN HOSPITAL,2,7.40801
Greater Accra,HOLY DOVE HOSPITAL,2,7.40801
Greater Accra,THE ROCK HOSPITAL ANNEX,2,7.40801
Greater Accra,GENERA FAMILY HOSPITAL ANEX (ASHIAIMAN),2,7.40801
Greater Accra,ASHAIMAN CIMMUNITY HOSPITAL,2,7.40801
Greater Accra,LAPAZ COMMUNITY HOSPITAL,2,7.40801
Greater Accra,HOLY CARE SPECIALIST HOSPITAL,2,7.40801
Greater Accra,THE COMMUNITY HOSPITAL ASHONGMAN,2,7.40801
Greater Accra,PENTECOST HOSPITAL,2,7.40801
Greater Accra,BENGALI HOSPITAL COMPANY LIMITED,2,7.40801
Greater Accra,GENERAL FAMILY HOSPITAL,2,7.40801
Greater Accra,MAB INTERNATIONAL HOSPITAL,2,7.40801
Greater Accra,KING DAVID HOSPITAL,2,7.40801
Greater Accra,GRACE MEMORIAL HOSPITAL,2,7.40801
Greater Accra,DESERT HOSPITAL,2,7.40801
Greater Accra,SHUKURA COMMUNITY HOSPITAL,2,7.40801
Greater Accra,BETHEL HOSPITAL,2,7.40801
Greater Accra,SINEL SPECIALIST HOSPITAL,2,7.40801
Greater Accra,VICOM SPECIALIST HOSPITAL,2,7.40801
Greater Accra,DORA MEMORIAL HOSPITAL,2,7.40801
Greater Accra,LISTER HOSPITAL,2,7.40801
Greater Accra,SAM-J SPECIALIST HOSPITAL,2,7.40801
Greater Accra,JUBAIL SPECIALIST HOSPITAL,2,7.40801
Greater Accra,SAKUMONO COMMUNITY HOSPITAL,2,7.40801
Greater Accra,ESIDEM HOSPITAL,2,7.40801
Greater Accra,FATHER GRAHAM HOSPITAL,2,7.40801
Greater Accra,ST JOHNS GENERAL HOSPITAL LTD,2,7.40801
Greater Accra,LIGHTHOUSE MISSION HOSPITAL,2,7.40801
Greater Accra,NARH - BITA HOSPITAL,2,7.40801
Greater Accra,ABA HOSPITAL TARKWA,2,7.40801
Greater Accra,URGENT CARE HOSPITAL,2,7.40801
Greater Accra,A & M MEMORIAL HOSPITAL,2,7.40801
Greater Accra,DANGME WEST HOSPITAL COMPLEX,2,7.40801
Greater Accra,OBAATANPA WOMEN'S HOSPITAL,2,7.40801
Greater Accra,37 MILITARY HOSPITAL,2,7.40801
Greater Accra,ST BERNARD FAMILY HOSPITAL,2,7.40801
Greater Accra,SKYVIEW HOSPITAL,2,7.40801
Greater Accra,AIRPORT WOMEN'S HOSPITAL - ADENTA,2,7.40801
Greater Accra,MOUNTAIN VIEW COMMUNITY HOSPITAL,2,7.40801
Greater Accra,GREEN LAWN HOSPITAL LIMITED,2,7.40801
Greater Accra,C & J MEDICARE HOSPITAL & DIAGNOSTIC CENTRE-LASHIBI,2,7.40801
Greater Accra,FENING CLINIC,3,7.40801
Greater Accra,NEW CRYSTAL,3,7.40801
Greater Accra,NEW CRYSTAL SSERVICES KAKASUNAKA,3,7.40801
Greater Accra,ADONAI MATERNITY HOME AND CLINIC,3,7.40801
Greater Accra,DENTOC DENTAL CLINIC,3,7.40801
Greater Accra,HAMM'S CLINIC,3,7.40801
Greater Accra,EDUMAH MEMORIAL HEALTH CENTRE,3,7.40801
Greater Accra,FZ SAFETY AND HEALTH CENTRE,3,7.40801
Greater Accra,BLOOMINGDALE MEDICAL CENTRE,3,7.40801
Greater Accra,PRIME CARE MEDICAL SERVICES LIMITED,3,7.40801
Greater Accra,ADWOA BOATEMAA MEMORIAL CLINIC,3,7.40801
Greater Accra,PRILWAY SPECIALIST CLINIC,3,7.40801
Greater Accra,ARMAH MEMORIAL HEALTH CARE,3,7.40801
Greater Accra,SONA TECH MEDICAL AND DIAGNOSTIC CENTRE,3,7.40801
Greater Accra,TOTAL HOUSE CLINIC A & C MALL,3,7.40801
Greater Accra,ACCRA POLYTECNIC CLINIC,3,7.40801
Greater Accra,ASANTEWAA'S MATERNITY HOME,3,7.40801
Greater Accra,AKAI HOUSE CLINIC,3,7.40801
Greater Accra,FAMILY MATERNITY AND CLINIC,3,7.40801
Greater Accra,NEW CRYSTAL HEALTH SERVICES Adjei-Kojo Tema,3,7.40801
Greater Accra,MODERN CARE CLINIC LIMITED,3,7.40801
Greater Accra,EASTWING CLINIC LIMITED,3,7.40801
Greater Accra,COMMUNITY CLINIC & CHEMIST LIMITED,3,7.40801
Greater Accra,GIESABI MATERNITY HOME,3,7.40801
Greater Accra,LEMOND MEDICAL CENTRE,3,7.40801
Greater Accra,BANK OF GHANA,3,7.40801
